allow-suspicious-udfs,FALSE,boolean,,"0, 1",engine-default,static,Controls whether user-defined functions that have only an xxx symbol for the main function can be loaded
auto_generate_certs,FALSE,boolean,,"0, 1",engine-default,static,"Controls whether the server autogenerates SSL key and certificate files in the data directory, if they do not already exist."
auto_increment_increment,TRUE,integer,,1-65535,engine-default,dynamic,"Intended for use with master-to-master replication, and can be used to control the operation of AUTO_INCREMENT columns"
auto_increment_offset,TRUE,integer,,1-65535,engine-default,dynamic,Determines the starting point for the AUTO_INCREMENT column value
autocommit,TRUE,boolean,,"0, 1",engine-default,dynamic,Sets the autocommit mode
automatic_sp_privileges,TRUE,boolean,,"0, 1",engine-default,dynamic,"When this variable has a value of 1 (the default), the server automatically grants the EXECUTE and ALTER ROUTINE privileges to the creator of a stored routine, if the user cannot already execute and alter or drop the routine."
avoid_temporal_upgrade,TRUE,boolean,,"0, 1",engine-default,dynamic,This variable controls whether ALTER TABLE implicitly upgrades temporal columns found to be in pre-5.6.4 format.
back_log,TRUE,integer,,1-65535,engine-default,static,The number of outstanding connection requests MySQL can have
basedir,FALSE,string,/rdsdbbin/mysql,,system,static,The MySQL installation base directory.
binlog_cache_size,TRUE,integer,32768,4096-18446744073709547520,system,dynamic,The size of the cache to hold the SQL statements for the binary log during a transaction.
binlog_checksum,TRUE,string,,"NONE, CRC32",engine-default,dynamic,"When enabled, this variable causes the master to write a checksum for each event in the binary log."
binlog_error_action,TRUE,string,,"IGNORE_ERROR, ABORT_SERVER",engine-default,dynamic,Controls what happens when the server cannot write to the binary log.
binlog_format,TRUE,string,MIXED,"ROW, STATEMENT, MIXED",system,dynamic,"Row-based, Statement-based or Mixed replication"
binlog_group_commit_sync_delay,TRUE,integer,,0-1000000,engine-default,dynamic,Controls how many microseconds the binary log commit waits before synchronizing the binary log file to disk.
binlog_group_commit_sync_no_delay_count,TRUE,integer,,0-1000000,engine-default,dynamic,The maximum number of transactions to wait for before aborting the current delay as specified by binlog-group-commit-sync-delay.
binlog_gtid_simple_recovery,TRUE,boolean,,"0, 1",engine-default,static,Controls how binary logs are iterated during GTID recovery
binlog_max_flush_queue_time,TRUE,integer,,0-100000,engine-default,dynamic,"How long in microseconds to keep reading transactions from the flush queue before proceeding with the group commit (and syncing the log to disk, if sync_binlog is greater than 0). If the value is 0 (the default), there is no timeout and the server keeps reading new transactions until the queue is empty."
binlog_order_commits,TRUE,boolean,,"0, 1",engine-default,dynamic,"If this variable is enabled (the default), transactions are committed in the same order they are written to the binary log. If disabled, transactions may be committed in parallel."
binlog_row_image,TRUE,string,,"full, minimal, noblob",engine-default,dynamic,Whether the server logs full or minmal rows with row-based replication.
binlog_rows_query_log_events,TRUE,boolean,,"0, 1",engine-default,dynamic,"When enabled, it causes a MySQL 5.6.2 or later server to write informational log events such as row query log events into its binary log."
